country,year,rule_of_law_estimate,gdp_growth
Africa Western and Central,1982,NULL,-11.2985012010844
Algeria,1973,NULL,28.686091119169
Africa Western and Central,1985,NULL,1.96441398195943
Africa Western and Central,1989,NULL,-6.58553575561561
Algeria,1976,NULL,13.9500768235186
Africa Western and Central,1992,NULL,-4.19190988809455
Africa Western and Central,1995,NULL,54.4852950858021
Africa Western and Central,1998,NULL,7.49801109368738
Africa Western and Central,2005,NULL,22.3382427309127
Africa Western and Central,2008,NULL,21.9545136967291
Africa Western and Central,2011,NULL,13.9605048157849
Africa Western and Central,2014,NULL,7.24232379033747
Africa Western and Central,2021,NULL,7.36567351987751
Albania,1962,NULL,NULL
Algeria,1979,NULL,26.0927298521349
Algeria,1986,NULL,9.93157505199545
Algeria,1989,NULL,-5.84651925167415
Algeria,1992,NULL,5.00365825664852
Albania,1965,NULL,NULL
Algeria,1999,NULL,0.9398453580425
Albania,1968,NULL,NULL
Algeria,2002,-0.6367331743,3.6819235930374
Albania,1971,NULL,NULL
Africa Eastern and Southern,2000,NULL,8.2410698152211
Algeria,2005,-0.7736445069,20.9364690409276
Algeria,2008,-0.7677722573,26.6886836225347
Albania,1978,NULL,NULL
Algeria,2015,-0.9421012402,-22.3706862399066
Algeria,2018,-0.8073034286,2.82997440929865
Algeria,2021,-0.8322109580,12.1644138371398
American Samoa,1961,NULL,NULL
Africa Western and Central,1974,NULL,38.8622367612407
American Samoa,1964,NULL,NULL
American Samoa,1967,NULL,NULL
Africa Western and Central,1977,NULL,5.12803777682536
American Samoa,1974,NULL,NULL
Africa Western and Central,1984,NULL,-17.2701413739003
Africa Western and Central,1987,NULL,2.58092921406954
Africa Western and Central,1990,NULL,19.6849775092604
Africa Western and Central,1997,NULL,5.01981259077021
Africa Western and Central,2000,NULL,2.06878708865392
Africa Western and Central,2003,NULL,15.7804475923886
Africa Western and Central,2006,NULL,27.7376385030427
American Samoa,1977,NULL,NULL
Albania,1981,NULL,NULL
Africa Western and Central,2013,NULL,13.0611847141306
Albania,1984,NULL,NULL
Africa Western and Central,2016,NULL,-10.0288506797353
Albania,1987,NULL,-0.788142537720103
Albania,1994,NULL,58.6877908727784
Albania,1997,NULL,-29.41351737319
Albania,2000,-1.0206676722,8.35067165576795
Albania,2007,-0.6615459919,20.0228763545354
Albania,2010,-0.3857604861,-0.973735663372618
Africa Western and Central,2019,NULL,7.1921867145618
Albania,2013,-0.5186060071,3.70451949150401
Albania,2016,-0.3213648498,4.16573815730145
Africa Western and Central,2022,NULL,3.60577420903868
Albania,2023,NULL,NULL
Algeria,1961,NULL,-10.6060621726058
Algeria,1964,NULL,7.6335764354942
Algeria,1967,NULL,10.8890264391193
Algeria,1974,NULL,51.7005755566238
American Samoa,1980,NULL,NULL
Algeria,1977,NULL,18.2977664535519
American Samoa,1983,NULL,NULL
Algeria,1980,NULL,27.3799815786804
American Samoa,1990,NULL,NULL
Algeria,1983,NULL,7.95051620445078
Algeria,1987,NULL,4.79465114904642
American Samoa,1993,NULL,NULL
Algeria,1990,NULL,11.5283814052821
American Samoa,1996,NULL,NULL
Albania,1963,NULL,NULL
Albania,1970,NULL,NULL
American Samoa,2003,NULL,2.34375
Albania,1973,NULL,NULL
Albania,1976,NULL,NULL
Albania,1979,NULL,NULL
American Samoa,2006,1.0692214966,-1.4
Albania,1986,NULL,10.5572380367356
American Samoa,2009,1.1250547171,20.5357142857143
Algeria,1993,NULL,4.04650704402017
American Samoa,2012,1.0963672400,12.280701754386
Algeria,1996,-1.2181948423,12.3963845921486
American Samoa,2019,1.2684597969,1.25195618153365
Algeria,2003,-0.6053807735,19.5620583757153
American Samoa,2022,1.2211178541,16.1333333333333
Andorra,1961,NULL,NULL
Algeria,2006,-0.7752045393,13.4004946085069
Algeria,2009,-0.8255668879,-19.7599724979865
Algeria,2012,-0.8126177192,4.52269530926501
Algeria,2019,-0.8617962599,-1.80115572738502
Andorra,1968,NULL,NULL
Algeria,2022,-0.8324726820,19.2852503161343
American Samoa,1963,NULL,NULL
Andorra,1971,NULL,13.7232383460867
Andorra,1974,NULL,23.6774526544502
American Samoa,1970,NULL,NULL
American Samoa,1973,NULL,NULL
American Samoa,1976,NULL,NULL
American Samoa,1979,NULL,NULL
American Samoa,1986,NULL,NULL
American Samoa,1989,NULL,NULL
American Samoa,1992,NULL,NULL
American Samoa,1999,NULL,NULL
American Samoa,2002,NULL,NULL
American Samoa,2005,1.1094154119,-1.76817288801572
American Samoa,2008,1.1179795265,8.10810810810811
Andorra,1977,NULL,11.7536055882473
Andorra,1984,NULL,0.678066089531272
Andorra,1987,NULL,26.8267587282882
Andorra,1990,NULL,29.3530042378932
Andorra,1997,NULL,-3.54392995526677
Andorra,2000,1.2861654758,15.2606141382815
Andorra,2003,1.0559833050,34.490355367617
Andorra,2006,0.8556858301,9.38144744169888
Andorra,2013,1.4014910460,0.152420458558776
Andorra,2016,1.5133118629,3.8255808714625
Andorra,2019,1.5104848146,-1.96582104857577
Andorra,2022,1.4854499102,0.80860165913161
Angola,1963,NULL,NULL
Angola,1966,NULL,NULL
Angola,1969,NULL,NULL
Angola,1972,NULL,NULL
Angola,1979,NULL,NULL
Angola,1982,NULL,0
Angola,1985,NULL,23.2014328600946
Angola,1988,NULL,8.47833591381532
Angola,1995,NULL,24.7937959042041
Angola,1998,-1.5273386240,-15.2308578991184
Angola,2001,NULL,-2.11965068049109
Angola,2008,-1.3785638809,35.6573013089343
Africa Eastern and Southern,2003,NULL,32.8534372585489
Angola,2011,-1.2770532370,33.4014863783195
Africa Eastern and Southern,2006,NULL,12.3718812538468
Angola,2014,-1.0747895241,2.74121251333051
Angola,2017,-1.0397315025,39.6662157271334
Africa Eastern and Southern,2013,NULL,0.647564644283821
Africa Eastern and Southern,2016,NULL,-4.55350211602678
Antigua and Barbuda,1965,NULL,NULL
Africa Eastern and Southern,2019,NULL,-0.625216385581971
Antigua and Barbuda,1968,NULL,NULL
Antigua and Barbuda,1971,NULL,NULL
Africa Eastern and Southern,2022,NULL,9.07539671984252
Antigua and Barbuda,1978,NULL,13.3974543862174
Africa Western and Central,1964,NULL,9.16925092194508
Africa Western and Central,1967,NULL,-8.94308233804731
Antigua and Barbuda,1981,NULL,12.4861722145602
Africa Western and Central,1970,NULL,39.2285471005979
Africa Western and Central,1973,NULL,26.0064551883593
Antigua and Barbuda,1984,NULL,14.4000011946585
Antigua and Barbuda,1987,NULL,16.0909996569069
Africa Western and Central,1980,NULL,26.4054844204784
Antigua and Barbuda,1994,NULL,10.1379259623336
Africa Western and Central,1983,NULL,-26.2059740871366
Antigua and Barbuda,1997,NULL,7.39888053201239
Africa Western and Central,1986,NULL,-7.72606578207977
Antigua and Barbuda,2000,1.0349035263,7.85308901070217
Africa Western and Central,1993,NULL,4.4095039158558
Antigua and Barbuda,2003,1.0379496813,5.15910341696562
Africa Western and Central,1996,NULL,27.0191978043266
Africa Western and Central,1999,NULL,-53.4522493951608
Antigua and Barbuda,2010,0.9528698921,-6.48275251202934
Antigua and Barbuda,2013,0.8317769170,-0.126706845960181
Africa Western and Central,2002,NULL,19.7009971131231
Albania,1989,NULL,9.84059376673722
Antigua and Barbuda,2016,0.4734944105,3.61236825576576
Africa Western and Central,2009,NULL,-10.4535603772339
Antigua and Barbuda,2023,NULL,NULL
Africa Western and Central,2012,NULL,8.14502120772038
Arab World,1963,NULL,NULL
Albania,1992,NULL,-40.6875890902593
Africa Western and Central,2015,NULL,-14.0012394990044
Africa Western and Central,2018,NULL,12.0367948882649
Arab World,1966,NULL,NULL
Albania,1999,NULL,26.1652133989813
Albania,1966,NULL,NULL
Albania,1969,NULL,NULL
Arab World,1969,NULL,8.96507230764635
Arab World,1972,NULL,19.2341853876138
Arab World,1979,NULL,35.3925811745417
Arab World,1982,NULL,-6.36686747226427
Albania,1972,NULL,NULL
Arab World,1985,NULL,-1.50596255862746
Arab World,1988,NULL,-3.56585627086421
Albania,1975,NULL,NULL
Arab World,1995,NULL,6.19617722451044
Albania,1982,NULL,NULL
Arab World,1998,NULL,-1.98075973565605
Albania,1985,NULL,2.13812070512203
Arab World,2001,NULL,-2.11407928098798
Albania,1988,NULL,-1.42061306868306
Arab World,2004,NULL,18.8980707208387
Albania,1991,NULL,-45.7959123870936
Arab World,2008,NULL,25.8684416497555
Albania,1995,NULL,27.2103866578736
Albania,1998,-0.9296717048,12.7274231721361
Albania,2001,NULL,12.6925375821856
Albania,2004,-0.7010323405,28.035108541514
Albania,2011,-0.4429264665,8.08115879018036
Albania,2002,-0.7623214126,10.8607005447399
Albania,2005,-0.7638331652,12.072782862806
Albania,2008,-0.6000792980,20.6421359777311
Albania,2015,-0.3189974427,-13.9195175022854
Albania,2018,-0.4141878486,16.4112354198834
Albania,2021,-0.2803723514,18.254167961631
Algeria,1966,NULL,-3.07450483470438
Algeria,1969,NULL,10.5163805506169
Algeria,1972,NULL,33.2775300001321
Algeria,1975,NULL,17.7748209048419
Albania,2014,-0.3109798431,3.53721817051865
Algeria,1982,NULL,1.93596866732987
Albania,2017,-0.4127623737,9.76735882121724
Algeria,1985,NULL,7.89466237101351
Albania,2020,-0.3762491941,-1.55235948828942
Algeria,1988,NULL,-11.4710157476672
Algeria,1962,NULL,-17.7966183671897
Algeria,1995,NULL,-1.8308156785556
Algeria,1965,NULL,7.80142262095257
Algeria,1998,-1.1983621120,0.0211101543668348
Algeria,2001,NULL,-0.0834070817299692
Algeria,2004,-0.6162873507,25.740848968239
Algeria,2011,-0.8453348279,24.0719855136227
Algeria,2014,-0.8042055964,1.93320345693774
Algeria,2017,-0.9255274534,6.28788949880079
Algeria,1968,NULL,14.2775198439912
Algeria,2020,-0.8003029823,-15.1471157060939
American Samoa,1962,NULL,NULL
Algeria,1971,NULL,4.39302727970594
American Samoa,1965,NULL,NULL
American Samoa,1968,NULL,NULL
American Samoa,1971,NULL,NULL
Algeria,1978,NULL,25.7121331524791
American Samoa,1978,NULL,NULL
Algeria,1981,NULL,4.729542091731
American Samoa,1981,NULL,NULL
American Samoa,1984,NULL,NULL
Algeria,1984,NULL,10.0349182589769
Algeria,1991,NULL,-26.3226784379058
Algeria,1994,NULL,-14.8209418172234
Algeria,1997,NULL,2.63318540287635
Algeria,2000,-1.2458443642,12.6431769700191
American Samoa,1987,NULL,NULL
Algeria,2007,-0.7918864489,15.338134872865
American Samoa,1991,NULL,NULL
Algeria,2010,-0.8167933822,17.4886130181457
American Samoa,1994,NULL,NULL
Algeria,2013,-0.6931589842,0.332877375576746
American Samoa,1997,NULL,NULL
American Samoa,2000,NULL,NULL
American Samoa,2007,1.0909198523,5.0709939148073
American Samoa,2010,1.1112082005,-15.1111111111111
American Samoa,2013,1.1013315916,-0.3125
American Samoa,2016,1.2795357704,-0.297176820208024
American Samoa,2015,1.2853628397,4.6656298600311
American Samoa,2023,NULL,NULL
American Samoa,2018,1.2967134714,4.41176470588235
Andorra,1962,NULL,NULL
American Samoa,2021,1.1389017105,4.02219140083218
Andorra,1965,NULL,NULL
Andorra,1964,NULL,NULL
Andorra,1972,NULL,26.8523686750313
Andorra,1967,NULL,NULL
Andorra,1970,NULL,NULL
Andorra,1973,NULL,33.0004232266802
Arab World,2011,NULL,9.42861577204924
Andorra,1980,NULL,8.46292381760589
Andorra,1983,NULL,-12.7860648575984
Arab World,2014,NULL,1.61893773406627
Andorra,1986,NULL,39.0068117363791
Arab World,2017,NULL,3.95216567162361
Andorra,1993,NULL,-16.7688557666441
Argentina,1962,NULL,NULL
Andorra,1996,1.1583625078,3.8412748122804
Argentina,1965,NULL,NULL
Andorra,1999,NULL,2.30096116647485
Andorra,2002,1.2238405943,13.5157617304329
Argentina,1968,NULL,NULL
Andorra,2009,1.2177851200,-10.0737220661627
Argentina,1975,NULL,NULL
Argentina,1978,NULL,NULL
Argentina,1981,NULL,NULL
Argentina,1988,NULL,16.4162645280451
Argentina,1991,NULL,34.2174963932114
Andorra,2012,1.4011877775,-12.1373269374007
Andorra,2015,1.5129890442,-14.7264657150514
Andorra,2018,1.5366258621,7.27488329797736
Angola,1967,NULL,NULL
Angola,1970,NULL,NULL
Angola,1973,NULL,NULL
Angola,1976,NULL,NULL
Angola,1983,NULL,4.21330148765874
Angola,1986,NULL,-6.37443849169094
Angola,1989,NULL,16.3280626327317
Angola,1992,NULL,-20.1261817602931
Angola,1996,-1.6304693222,17.9947716140053
Angola,1999,NULL,-5.43248480300566
Angola,2002,-1.6333438158,71.0547931391693
Angola,2005,-1.4647949934,56.9752525819937
Angola,2012,-1.3047769070,14.5479964435544
Angola,2015,-1.0308461189,-33.4422693524511
Angola,2018,-1.0009322166,7.81723506955793
Angola,2021,-0.9844800234,37.119570894878
Antigua and Barbuda,1962,NULL,NULL
Antigua and Barbuda,1966,NULL,NULL
Antigua and Barbuda,1969,NULL,NULL
Antigua and Barbuda,1972,NULL,NULL
Antigua and Barbuda,1975,NULL,NULL
Antigua and Barbuda,1982,NULL,11.1792199831431
Antigua and Barbuda,1985,NULL,15.6215516140567
Antigua and Barbuda,1988,NULL,18.2287855587615
Antigua and Barbuda,1991,NULL,4.83970796567234
Antigua and Barbuda,1998,1.0535631180,6.94085868627349
Antigua and Barbuda,2001,NULL,-3.13284418252519
Argentina,1994,NULL,8.74298110504065
Antigua and Barbuda,2004,0.9084337354,7.39532771071516
Argentina,1997,NULL,7.60949732229876
Argentina,2004,-0.7673801780,29.055444313048
Argentina,2007,-0.6014722586,23.6385870845979
Antigua and Barbuda,2007,0.8935031891,13.3973637591741
Argentina,2010,-0.5980942249,27.2244252795514
Argentina,2013,-0.6562331915,1.10676591009755
Argentina,2020,-0.4873347878,-13.8500374952733
Argentina,2023,NULL,NULL
Armenia,1961,NULL,NULL
Armenia,1968,NULL,NULL
Armenia,1971,NULL,NULL
Armenia,1974,NULL,NULL
Armenia,1977,NULL,NULL
Andorra,1975,NULL,17.9867130001515
Andorra,1978,NULL,21.2688180293015
Andorra,1981,NULL,-12.8578367984759
Andorra,1985,NULL,5.05028510534006
Andorra,1988,NULL,18.015055340169
Andorra,1991,NULL,7.57069738432055
Andorra,1994,NULL,1.03802257084728
Andorra,2001,NULL,8.24776027667136
Armenia,1984,NULL,NULL
Andorra,2004,1.1943244934,22.5865141154467
Antigua and Barbuda,2014,-0.1759301722,4.02916882748151
Andorra,2007,1.1682450771,14.354531242165
Antigua and Barbuda,2017,0.4069781005,2.78307951308374
Andorra,2010,1.1979246140,-6.10377914906351
Antigua and Barbuda,2020,0.4079735279,-18.2313843786229
Andorra,2017,1.5349280834,3.57482043572673
Arab World,1967,NULL,NULL
Andorra,2020,1.6162784100,-8.37196139233348
Arab World,1970,NULL,13.0615989383145
Andorra,2023,NULL,NULL
Arab World,1973,NULL,26.8844057218584
Arab World,1976,NULL,24.4761694805904
Angola,1962,NULL,NULL
Arab World,1983,NULL,-5.87449578991504
Angola,1965,NULL,NULL
Arab World,1986,NULL,-2.98052143596913
Angola,1968,NULL,NULL
Angola,1975,NULL,NULL
Arab World,1989,NULL,7.27859833971684
Armenia,1987,NULL,NULL
Arab World,1992,NULL,0.997541067030072
Angola,1978,NULL,NULL
Armenia,1990,NULL,NULL
Angola,1981,NULL,-6.40790137142506
Arab World,1999,NULL,10.5175173054025
Armenia,1997,NULL,2.66276434076715
Armenia,2000,-0.5010162592,3.58071939957118
Angola,1984,NULL,6.00126871592626
Arab World,2002,NULL,0.633709021743671
Armenia,2003,-0.3028646410,18.125637553179
Angola,1991,NULL,-7.4320650663278
Arab World,2005,NULL,22.7390258605917
Angola,1994,NULL,-27.0575500594994
Armenia,2006,-0.5445673466,30.2824506359162
Arab World,2012,NULL,9.17848903378404
Angola,1997,NULL,17.4430282186069
Arab World,2015,NULL,-12.0883820577696
Angola,2004,-1.5209163427,32.220552542595
Angola,2007,-1.3751335144,24.5993536610236
Angola,2010,-1.2729532719,19.1904708473285
Arab World,2018,NULL,7.80920101709407
Angola,2013,-1.2907958031,3.34720514572568
Angola,2020,-0.9509993792,-31.5896253710193
Arab World,2021,NULL,15.5776070754548
Argentina,1963,NULL,NULL
Argentina,1966,NULL,NULL
Argentina,1969,NULL,NULL
Argentina,1972,NULL,NULL
Argentina,1979,NULL,NULL
Argentina,1982,NULL,NULL
Argentina,1985,NULL,-21.7472476083103
Argentina,1992,NULL,20.5876737075901
Argentina,1995,NULL,0.229855855297412
Argentina,1998,-0.0388815776,2.07925237769105
Argentina,2001,NULL,-5.45629588122506
Argentina,2008,-0.6997316480,25.7459740949442
Argentina,2011,-0.5631232858,25.1472627457605
Argentina,2014,-0.8664345145,-4.65657197027033
Argentina,2017,-0.2383570373,15.442348824558
Armenia,1962,NULL,NULL
Armenia,1965,NULL,NULL
Armenia,1972,NULL,NULL
Armenia,1975,NULL,NULL
Armenia,1978,NULL,NULL
Armenia,1981,NULL,NULL
Armenia,1985,NULL,NULL
Armenia,2013,-0.3409712315,4.7285888820425
Angola,2023,NULL,NULL
Antigua and Barbuda,1961,NULL,NULL
Antigua and Barbuda,1964,NULL,NULL
Antigua and Barbuda,1967,NULL,NULL
Armenia,2016,-0.1607207656,-0.0682418406220691
Antigua and Barbuda,1974,NULL,NULL
Armenia,2019,-0.1775280982,9.32215942221731
Antigua and Barbuda,1977,NULL,NULL
Armenia,2022,-0.1685672253,40.5980482560308
Antigua and Barbuda,1980,NULL,20.4905142260024
Antigua and Barbuda,1983,NULL,10.8139525828671
Aruba,1963,NULL,NULL
Algeria,2016,-0.9171286821,-3.58178337088305
Aruba,1966,NULL,NULL
Armenia,1988,NULL,NULL
Antigua and Barbuda,1990,NULL,4.7119028652811
Armenia,1991,NULL,-8.28554358711837
Aruba,1973,NULL,NULL
Armenia,1994,NULL,9.47678997781201
Aruba,1976,NULL,NULL
Antigua and Barbuda,1993,NULL,7.18885238345075
Armenia,2001,NULL,10.8238258358008
Aruba,1979,NULL,NULL
Armenia,2004,-0.4819506109,27.4149431805435
Aruba,1982,NULL,NULL
Armenia,2007,-0.4965180457,44.1987747353912
Aruba,1989,NULL,16.5730342502209
Armenia,2010,-0.4813583195,7.08086710507479
Aruba,1992,NULL,9.92953422221426
Armenia,2017,-0.2099412233,9.30504543128185
Armenia,2020,-0.1258522570,-7.17799010051663
Aruba,1995,NULL,6.00896485946468
Aruba,1998,NULL,8.71626120281482
Armenia,2023,NULL,NULL
Aruba,2005,0.8474383950,4.6649423877316
Aruba,1962,NULL,NULL
Aruba,2008,0.8472261429,6.17645945288586
Aruba,1965,NULL,NULL
Aruba,2011,1.3224583864,7.50987754638701
Aruba,1969,NULL,NULL
Aruba,2014,1.0363104343,2.30951372992933
Aruba,1972,NULL,NULL
Aruba,1975,NULL,NULL
Aruba,2018,1.2594119310,5.9421011985214
Aruba,1978,NULL,NULL
Aruba,2021,1.2473037243,21.26993651688
Aruba,1985,NULL,NULL
Australia,1962,NULL,1.21770515472048
Aruba,1988,NULL,22.3367720141865
Australia,1965,NULL,9.13839885964479
Aruba,1991,NULL,14.0248299800754
Aruba,1994,NULL,15.0077385607199
Australia,1968,NULL,7.46108946536916
Aruba,2001,NULL,1.22791559752474
Australia,1971,NULL,9.39439094190163
Aruba,2004,0.9155268073,10.308590252882
Australia,1978,NULL,7.37815488000727
Aruba,2007,0.8264640570,8.41606125634083
Australia,1981,NULL,17.9401050141085
Aruba,2010,1.4161136150,-3.92342233745716
Australia,1984,NULL,9.1690564275008
Aruba,2017,1.2948315144,3.64635247633491
Australia,1987,NULL,3.84251400368954
Aruba,2020,1.2702623606,-24.6449353814245
Australia,1994,NULL,3.41980389274991
Aruba,2023,NULL,NULL
Australia,1997,NULL,8.54650994751625
Australia,1961,NULL,5.78462683853232
Australia,2000,1.7220668793,6.8049409809337
Australia,2003,1.8427721262,18.1789942337268
Australia,2007,1.7438874245,14.2420288151975
Australia,2010,1.7577183247,23.7012415867161
Australia,1964,NULL,10.4981201810088
Australia,2013,1.7701026201,1.91593893813247
Australia,2016,1.7168977261,-10.6666237442403
Australia,1967,NULL,11.479785221257
Australia,2023,NULL,NULL
Australia,1974,NULL,39.3743851752888
Austria,1963,NULL,7.96874811245594
