country,year,control_of_corruption_estimate,gdp_growth
Albania,1965,NULL,NULL
Africa Western and Central,2013,NULL,13.0611847141306
Albania,1968,NULL,NULL
Africa Western and Central,2016,NULL,-10.0288506797353
Africa Western and Central,2001,NULL,5.27495181237611
Africa Western and Central,2019,NULL,7.1921867145618
Africa Western and Central,2004,NULL,23.965481374065
Africa Western and Central,2022,NULL,3.60577420903868
Africa Western and Central,2007,NULL,17.5597684580327
Albania,1963,NULL,NULL
Africa Western and Central,2010,NULL,17.7219739113921
Albania,1970,NULL,NULL
Africa Western and Central,2017,NULL,-0.936933401863262
Albania,1973,NULL,NULL
Africa Western and Central,2020,NULL,-4.42590247888997
Albania,1976,NULL,NULL
Africa Western and Central,2023,NULL,NULL
Albania,1979,NULL,NULL
Albania,1961,NULL,NULL
Albania,1986,NULL,10.5572380367356
Albania,1964,NULL,NULL
Albania,1967,NULL,NULL
Albania,1989,NULL,9.84059376673722
Albania,1971,NULL,NULL
Albania,1974,NULL,NULL
Albania,1978,NULL,NULL
Albania,1992,NULL,-40.6875890902593
Albania,1981,NULL,NULL
Albania,1977,NULL,NULL
Albania,1999,NULL,26.1652133989813
Albania,1984,NULL,NULL
Albania,1980,NULL,NULL
Albania,2002,-0.8453409076,10.8607005447399
Albania,1983,NULL,NULL
Albania,2005,-0.8132638931,12.072782862806
Albania,1990,NULL,-9.96570555177385
Albania,2008,-0.6052123904,20.6421359777311
Albania,1993,NULL,81.748073694873
Albania,2015,-0.5443852544,-13.9195175022854
Albania,1996,-0.8939034939,33.7214865763863
Africa Eastern and Southern,2000,NULL,8.2410698152211
Albania,2003,-0.8537865877,29.0572271114104
Albania,2018,-0.5458402634,16.4112354198834
Albania,2006,-0.7905452847,10.4817389368014
Africa Eastern and Southern,2003,NULL,32.8534372585489
Albania,2021,-0.5765355229,18.254167961631
Albania,2009,-0.5452709198,-6.49891100132709
Africa Eastern and Southern,2006,NULL,12.3718812538468
Algeria,1966,NULL,-3.07450483470438
Albania,2012,-0.7787294388,-4.42895586836156
Africa Eastern and Southern,2013,NULL,0.647564644283821
Algeria,1969,NULL,10.5163805506169
Albania,2019,-0.5638996363,1.61913277948166
Africa Eastern and Southern,2016,NULL,-4.55350211602678
Algeria,1972,NULL,33.2775300001321
Albania,2022,-0.4078755379,5.49794698188805
Algeria,1975,NULL,17.7748209048419
Africa Eastern and Southern,2019,NULL,-0.625216385581971
Algeria,1963,NULL,35.0515675558485
Africa Eastern and Southern,2022,NULL,9.07539671984252
Algeria,1982,NULL,1.93596866732987
Algeria,1970,NULL,14.2409549644808
Algeria,1985,NULL,7.89466237101351
Africa Western and Central,1964,NULL,9.16925092194508
Africa Western and Central,1967,NULL,-8.94308233804731
Algeria,1973,NULL,28.686091119169
Algeria,1988,NULL,-11.4710157476672
Algeria,1976,NULL,13.9500768235186
Africa Western and Central,1970,NULL,39.2285471005979
Algeria,1995,NULL,-1.8308156785556
Algeria,1998,-0.9166492820,0.0211101543668348
Algeria,1979,NULL,26.0927298521349
Africa Western and Central,1973,NULL,26.0064551883593
Africa Western and Central,1980,NULL,26.4054844204784
Algeria,2001,NULL,-0.0834070817299692
Algeria,1986,NULL,9.93157505199545
Algeria,2004,-0.6992726922,25.740848968239
Africa Western and Central,1983,NULL,-26.2059740871366
Algeria,1989,NULL,-5.84651925167415
Algeria,1992,NULL,5.00365825664852
Algeria,2011,-0.5726996660,24.0719855136227
Algeria,1999,NULL,0.9398453580425
Algeria,2014,-0.6126564145,1.93320345693774
Algeria,2002,-0.9287549853,3.6819235930374
Albania,1987,NULL,-0.788142537720103
Algeria,2017,-0.5985093117,6.28788949880079
Algeria,2005,-0.4664204717,20.9364690409276
Albania,1994,NULL,58.6877908727784
Algeria,2008,-0.6334448457,26.6886836225347
Algeria,2020,-0.6664602160,-15.1471157060939
Algeria,2015,-0.6390733123,-22.3706862399066
American Samoa,1962,NULL,NULL
Algeria,2018,-0.6586601138,2.82997440929865
American Samoa,1965,NULL,NULL
Algeria,2021,-0.6356576085,12.1644138371398
American Samoa,1961,NULL,NULL
American Samoa,1968,NULL,NULL
Albania,1997,NULL,-29.41351737319
American Samoa,1971,NULL,NULL
Albania,2000,-0.8555636406,8.35067165576795
American Samoa,1978,NULL,NULL
Albania,2007,-0.7069400549,20.0228763545354
American Samoa,1981,NULL,NULL
Albania,2010,-0.5316165090,-0.973735663372618
American Samoa,1984,NULL,NULL
Albania,2013,-0.7509559393,3.70451949150401
American Samoa,1987,NULL,NULL
Albania,2016,-0.4714692235,4.16573815730145
American Samoa,1991,NULL,NULL
Albania,2023,NULL,NULL
American Samoa,1994,NULL,NULL
Algeria,1961,NULL,-10.6060621726058
American Samoa,1997,NULL,NULL
Algeria,1964,NULL,7.6335764354942
American Samoa,2000,NULL,NULL
Algeria,1967,NULL,10.8890264391193
American Samoa,2007,0.3080624044,5.0709939148073
Algeria,1974,NULL,51.7005755566238
American Samoa,1964,NULL,NULL
Algeria,1977,NULL,18.2977664535519
Algeria,1980,NULL,27.3799815786804
American Samoa,1967,NULL,NULL
Algeria,1983,NULL,7.95051620445078
American Samoa,1974,NULL,NULL
Algeria,1987,NULL,4.79465114904642
American Samoa,1977,NULL,NULL
Algeria,1990,NULL,11.5283814052821
American Samoa,1980,NULL,NULL
American Samoa,2010,0.3287568390,-15.1111111111111
American Samoa,1983,NULL,NULL
American Samoa,2013,0.3030550480,-0.3125
American Samoa,2016,1.1595559120,-0.297176820208024
American Samoa,1990,NULL,NULL
American Samoa,2023,NULL,NULL
American Samoa,1993,NULL,NULL
Andorra,1962,NULL,NULL
American Samoa,1996,NULL,NULL
Algeria,1993,NULL,4.04650704402017
American Samoa,2003,NULL,2.34375
Algeria,1996,-0.5667409301,12.3963845921486
American Samoa,2006,0.2998610437,-1.4
American Samoa,2009,0.3474660814,20.5357142857143
Algeria,2003,-0.7152444720,19.5620583757153
American Samoa,2012,0.2994111478,12.280701754386
Algeria,2006,-0.5649625659,13.4004946085069
American Samoa,2019,1.7807098627,1.25195618153365
Algeria,2009,-0.6149382591,-19.7599724979865
American Samoa,2022,1.2702035904,16.1333333333333
Algeria,2012,-0.5215445161,4.52269530926501
Andorra,1961,NULL,NULL
Algeria,2019,-0.6558951139,-1.80115572738502
Andorra,1968,NULL,NULL
Algeria,2022,-0.6379298568,19.2852503161343
American Samoa,1963,NULL,NULL
Andorra,1971,NULL,13.7232383460867
American Samoa,1970,NULL,NULL
Andorra,1974,NULL,23.6774526544502
Andorra,1965,NULL,NULL
Andorra,1977,NULL,11.7536055882473
Andorra,1972,NULL,26.8523686750313
Andorra,1984,NULL,0.678066089531272
Andorra,1975,NULL,17.9867130001515
Andorra,1987,NULL,26.8267587282882
Andorra,1978,NULL,21.2688180293015
Andorra,1990,NULL,29.3530042378932
Andorra,1981,NULL,-12.8578367984759
Andorra,1997,NULL,-3.54392995526677
Andorra,1985,NULL,5.05028510534006
Andorra,2000,1.3134038448,15.2606141382815
Andorra,1988,NULL,18.015055340169
Andorra,2003,1.3327895403,34.490355367617
Andorra,1991,NULL,7.57069738432055
Andorra,2006,1.2513132095,9.38144744169888
Andorra,1994,NULL,1.03802257084728
Andorra,2013,1.2535485029,0.152420458558776
American Samoa,1973,NULL,NULL
Andorra,2001,NULL,8.24776027667136
Andorra,2016,1.1595559120,3.8255808714625
American Samoa,1976,NULL,NULL
Andorra,2019,1.1765922308,-1.96582104857577
Andorra,2004,1.1191502810,22.5865141154467
American Samoa,1979,NULL,NULL
Andorra,2022,1.2702035904,0.80860165913161
American Samoa,1986,NULL,NULL
Andorra,2007,1.2618709803,14.354531242165
Angola,1963,NULL,NULL
Andorra,2010,1.3017727137,-6.10377914906351
American Samoa,1989,NULL,NULL
Angola,1966,NULL,NULL
Andorra,2017,1.1717584133,3.57482043572673
American Samoa,1992,NULL,NULL
Angola,1969,NULL,NULL
Andorra,2020,1.2660052776,-8.37196139233348
American Samoa,1999,NULL,NULL
Angola,1972,NULL,NULL
American Samoa,2002,NULL,NULL
Andorra,2023,NULL,NULL
American Samoa,2005,0.7893091440,-1.76817288801572
Angola,1962,NULL,NULL
American Samoa,2008,0.3175552785,8.10810810810811
Angola,1965,NULL,NULL
American Samoa,2015,1.1518107653,4.6656298600311
Angola,1968,NULL,NULL
American Samoa,2018,1.7809095383,4.41176470588235
Angola,1975,NULL,NULL
American Samoa,2021,1.2798718214,4.02219140083218
Angola,1978,NULL,NULL
Andorra,1964,NULL,NULL
Angola,1981,NULL,-6.40790137142506
Andorra,1967,NULL,NULL
Angola,1984,NULL,6.00126871592626
Andorra,1970,NULL,NULL
Angola,1991,NULL,-7.4320650663278
Andorra,1973,NULL,33.0004232266802
Angola,1994,NULL,-27.0575500594994
Angola,1979,NULL,NULL
Angola,1997,NULL,17.4430282186069
Angola,1982,NULL,0
Angola,2004,-1.3775688410,32.220552542595
Angola,1985,NULL,23.2014328600946
Angola,2007,-1.3074935675,24.5993536610236
Angola,1988,NULL,8.47833591381532
Angola,2010,-1.3324749470,19.1904708473285
Angola,1995,NULL,24.7937959042041
Angola,2013,-1.3368747234,3.34720514572568
Angola,1998,-1.1804506779,-15.2308578991184
Angola,2020,-0.9386725426,-31.5896253710193
Angola,2001,NULL,-2.11965068049109
Angola,2023,NULL,NULL
Angola,2008,-1.3087645769,35.6573013089343
Antigua and Barbuda,1961,NULL,NULL
Angola,2011,-1.3674690723,33.4014863783195
Antigua and Barbuda,1964,NULL,NULL
Angola,2014,-1.4577982426,2.74121251333051
Antigua and Barbuda,1967,NULL,NULL
Angola,2017,-1.4443330765,39.6662157271334
Antigua and Barbuda,1974,NULL,NULL
Antigua and Barbuda,1965,NULL,NULL
Antigua and Barbuda,1977,NULL,NULL
Antigua and Barbuda,1968,NULL,NULL
Antigua and Barbuda,1980,NULL,20.4905142260024
Antigua and Barbuda,1971,NULL,NULL
Antigua and Barbuda,1983,NULL,10.8139525828671
Antigua and Barbuda,1978,NULL,13.3974543862174
Antigua and Barbuda,1990,NULL,4.7119028652811
Antigua and Barbuda,1981,NULL,12.4861722145602
Antigua and Barbuda,1993,NULL,7.18885238345075
Antigua and Barbuda,1984,NULL,14.4000011946585
Antigua and Barbuda,1996,0.8698971868,9.77826774942813
Antigua and Barbuda,1987,NULL,16.0909996569069
Antigua and Barbuda,1999,NULL,5.26760294143896
Antigua and Barbuda,1994,NULL,10.1379259623336
Antigua and Barbuda,2006,1.1196162701,13.1676355228758
Antigua and Barbuda,1997,NULL,7.39888053201239
Antigua and Barbuda,2009,1.3177649975,-10.3455121722212
Antigua and Barbuda,2000,0.8615375757,7.85308901070217
Antigua and Barbuda,2012,1.2605308294,3.57207860668745
Antigua and Barbuda,2003,0.8541200757,5.15910341696562
Antigua and Barbuda,2019,0.2394981086,3.84117189365751
Antigua and Barbuda,2010,1.3017727137,-6.48275251202934
Antigua and Barbuda,2022,0.3106044531,16.6337121484313
Antigua and Barbuda,2013,1.2535485029,-0.126706845960181
Arab World,1962,NULL,NULL
Antigua and Barbuda,2016,0.6455587149,3.61236825576576
Andorra,1980,NULL,8.46292381760589
Antigua and Barbuda,2023,NULL,NULL
Andorra,1983,NULL,-12.7860648575984
Arab World,1963,NULL,NULL
Andorra,1986,NULL,39.0068117363791
Arab World,1966,NULL,NULL
Andorra,1993,NULL,-16.7688557666441
Arab World,1969,NULL,8.96507230764635
Andorra,1996,1.3181432486,3.8412748122804
Arab World,1972,NULL,19.2341853876138
Arab World,1965,NULL,NULL
Arab World,1979,NULL,35.3925811745417
Arab World,1968,NULL,NULL
Arab World,1982,NULL,-6.36686747226427
Arab World,1975,NULL,10.5052376224192
Arab World,1985,NULL,-1.50596255862746
Arab World,1978,NULL,10.6067750038323
Arab World,1988,NULL,-3.56585627086421
Arab World,1981,NULL,3.26326981040384
Arab World,1995,NULL,6.19617722451044
Arab World,1998,NULL,-1.98075973565605
Arab World,2001,NULL,-2.11407928098798
Andorra,1999,NULL,2.30096116647485
Arab World,2004,NULL,18.8980707208387
Arab World,2008,NULL,25.8684416497555
Andorra,2002,1.3107438087,13.5157617304329
Arab World,1984,NULL,1.77731108446357
Andorra,2009,1.3177649975,-10.0737220661627
Arab World,1991,NULL,-26.1881747882612
Andorra,2012,1.2605308294,-12.1373269374007
Arab World,1994,NULL,6.51747198859332
Andorra,2015,1.1518107653,-14.7264657150514
Andorra,2018,1.1791656017,7.27488329797736
Arab World,1997,NULL,7.71023972684829
Arab World,2000,NULL,14.3204838855615
Angola,1967,NULL,NULL
Arab World,2011,NULL,9.42861577204924
Angola,1970,NULL,NULL
Arab World,2014,NULL,1.61893773406627
Angola,1973,NULL,NULL
Arab World,2017,NULL,3.95216567162361
Angola,1976,NULL,NULL
Argentina,1962,NULL,NULL
Angola,1983,NULL,4.21330148765874
Argentina,1965,NULL,NULL
Angola,1986,NULL,-6.37443849169094
Angola,1989,NULL,16.3280626327317
Argentina,1968,NULL,NULL
Angola,1992,NULL,-20.1261817602931
Argentina,1975,NULL,NULL
Angola,1996,-1.1677018404,17.9947716140053
Argentina,1978,NULL,NULL
Angola,1999,NULL,-5.43248480300566
Argentina,1981,NULL,NULL
Angola,2002,-1.1554926634,71.0547931391693
Argentina,1988,NULL,16.4162645280451
Angola,2005,-1.3231819868,56.9752525819937
Argentina,1991,NULL,34.2174963932114
Argentina,1994,NULL,8.74298110504065
Angola,2012,-1.3024014235,14.5479964435544
Angola,2015,-1.4273234606,-33.4422693524511
Argentina,1997,NULL,7.60949732229876
Argentina,2004,-0.4144095480,29.055444313048
Angola,2018,-1.1992509365,7.81723506955793
Argentina,2007,-0.3721220791,23.6385870845979
Angola,2021,-0.6516101956,37.119570894878
Arab World,2007,NULL,16.3303234311816
Antigua and Barbuda,1962,NULL,NULL
Arab World,2010,NULL,18.016745908303
Antigua and Barbuda,1966,NULL,NULL
Arab World,2013,NULL,2.06918378516492
Antigua and Barbuda,1969,NULL,NULL
Arab World,2020,NULL,-11.7056616216139
Antigua and Barbuda,1972,NULL,NULL
Antigua and Barbuda,1975,NULL,NULL
Antigua and Barbuda,1982,NULL,11.1792199831431
Antigua and Barbuda,1985,NULL,15.6215516140567
Antigua and Barbuda,1988,NULL,18.2287855587615
Antigua and Barbuda,1991,NULL,4.83970796567234
Arab World,2023,NULL,NULL
Antigua and Barbuda,1998,0.8833664060,6.94085868627349
Argentina,1961,NULL,NULL
Antigua and Barbuda,2001,NULL,-3.13284418252519
Argentina,2010,-0.3552300334,27.2244252795514
Antigua and Barbuda,2004,0.8398560286,7.39532771071516
Argentina,1964,NULL,NULL
Argentina,2013,-0.4340157807,1.10676591009755
Antigua and Barbuda,2007,1.1469670534,13.3973637591741
Argentina,1971,NULL,NULL
Argentina,2020,-0.1637806594,-13.8500374952733
Antigua and Barbuda,2014,0.6348977685,4.02916882748151
Argentina,1974,NULL,NULL
Argentina,2023,NULL,NULL
Antigua and Barbuda,2017,0.1978050917,2.78307951308374
Armenia,1961,NULL,NULL
Argentina,1977,NULL,NULL
Antigua and Barbuda,2020,0.2385332733,-18.2313843786229
Armenia,1968,NULL,NULL
Argentina,1980,NULL,NULL
Armenia,1971,NULL,NULL
Arab World,1967,NULL,NULL
Argentina,1984,NULL,3.19532880190826
Armenia,1974,NULL,NULL
Arab World,1970,NULL,13.0615989383145
Argentina,1987,NULL,2.65089307785128
Arab World,1973,NULL,26.8844057218584
Argentina,1990,NULL,84.4620697897823
Armenia,1977,NULL,NULL
Argentina,1993,NULL,3.48056730817227
Armenia,1984,NULL,NULL
Armenia,1987,NULL,NULL
Armenia,1990,NULL,NULL
Armenia,1997,NULL,2.66276434076715
Argentina,2000,-0.1724076569,0.240105819922369
Arab World,1976,NULL,24.4761694805904
Armenia,2000,-0.8480862379,3.58071939957118
Argentina,2003,-0.4799768031,30.5584783556316
Armenia,2003,-0.6490224004,18.125637553179
Arab World,1983,NULL,-5.87449578991504
Argentina,2006,-0.3312385380,17.0175392314066
Armenia,2006,-0.6692326069,30.2824506359162
Armenia,2013,-0.5304502249,4.7285888820425
Armenia,2016,-0.6591237187,-0.0682418406220691
Arab World,1986,NULL,-2.98052143596913
Armenia,2019,-0.2269751728,9.32215942221731
Armenia,2022,0.0280352365,40.5980482560308
Arab World,1989,NULL,7.27859833971684
Arab World,1992,NULL,0.997541067030072
Aruba,1963,NULL,NULL
Arab World,1999,NULL,10.5175173054025
Aruba,1966,NULL,NULL
Arab World,2002,NULL,0.633709021743671
Aruba,1973,NULL,NULL
Arab World,2005,NULL,22.7390258605917
Aruba,1976,NULL,NULL
Argentina,2009,-0.4454751015,-7.90510968221865
Aruba,1979,NULL,NULL
Argentina,2016,-0.2989648879,-6.25759078027767
Argentina,2019,-0.1069402471,-14.6841217085267
Aruba,1982,NULL,NULL
Argentina,2022,-0.4470304847,29.3564335655647
Aruba,1989,NULL,16.5730342502209
Armenia,1964,NULL,NULL
Aruba,1992,NULL,9.92953422221426
Arab World,2012,NULL,9.17848903378404
Aruba,1995,NULL,6.00896485946468
Arab World,2015,NULL,-12.0883820577696
Aruba,1998,NULL,8.71626120281482
Arab World,2018,NULL,7.80920101709407
Aruba,2005,1.2696630955,4.6649423877316
Aruba,2008,1.2767753601,6.17645945288586
Arab World,2021,NULL,15.5776070754548
Aruba,2011,1.1029465199,7.50987754638701
Argentina,1963,NULL,NULL
Argentina,1966,NULL,NULL
Aruba,2014,1.0142315626,2.30951372992933
Argentina,1969,NULL,NULL
Aruba,2018,1.2074294090,5.9421011985214
Argentina,1972,NULL,NULL
Aruba,2021,0.8016108871,21.26993651688
Argentina,1979,NULL,NULL
Australia,1962,NULL,1.21770515472048
Armenia,1967,NULL,NULL
Australia,1965,NULL,9.13839885964479
Armenia,1970,NULL,NULL
Armenia,1973,NULL,NULL
Australia,1968,NULL,7.46108946536916
Armenia,1980,NULL,NULL
Australia,1971,NULL,9.39439094190163
Armenia,1983,NULL,NULL
Australia,1978,NULL,7.37815488000727
Armenia,1986,NULL,NULL
Australia,1981,NULL,17.9401050141085
Armenia,1993,NULL,-5.61916213622509
Armenia,1996,-0.4730513096,8.76183286360748
Australia,1984,NULL,9.1690564275008
Armenia,1999,NULL,-2.54758820331932
Australia,1987,NULL,3.84251400368954
Armenia,2002,-0.7781651616,12.172340573242
Australia,1994,NULL,3.41980389274991
Argentina,1982,NULL,NULL
Argentina,1985,NULL,-21.7472476083103
Australia,1997,NULL,8.54650994751625
Argentina,1992,NULL,20.5876737075901
Australia,2000,1.8620883226,6.8049409809337
Argentina,1995,NULL,0.229855855297412
Australia,2003,1.8952870369,18.1789942337268
Argentina,1998,-0.2034815997,2.07925237769105
Australia,2007,2.0008728504,14.2420288151975
Argentina,2001,NULL,-5.45629588122506
Argentina,2008,-0.4348750114,25.7459740949442
Australia,2010,2.0236108303,23.7012415867161
Argentina,2011,-0.3640985191,25.1472627457605
Australia,2013,1.7778702974,1.91593893813247
Argentina,2014,-0.5494430661,-4.65657197027033
Australia,2016,1.7720036507,-10.6666237442403
Argentina,2017,-0.3087983429,15.442348824558
Australia,2023,NULL,NULL
Armenia,1962,NULL,NULL
Armenia,1965,NULL,NULL
Austria,1963,NULL,7.96874811245594
Armenia,1972,NULL,NULL
Austria,1970,NULL,13.1799564731359
Armenia,1975,NULL,NULL
Austria,1973,NULL,33.7986658057364
Armenia,1978,NULL,NULL
Austria,1976,NULL,7.24119843600461
Armenia,1981,NULL,NULL
Armenia,1985,NULL,NULL
Austria,1979,NULL,19.1532750602546
Armenia,1988,NULL,NULL
Austria,1986,NULL,42.7306165891289
Armenia,1991,NULL,-8.28554358711837
Austria,1989,NULL,-0.175188191375912
Austria,1992,NULL,12.2466393056647
Armenia,2009,-0.6214596629,-25.8454248382082
Austria,1995,NULL,18.4258225094896
Armenia,2012,-0.5880014896,4.70521907118913
Armenia,2015,-0.6092671752,-9.09749709259121
Austria,2002,1.9151592255,8.54953791292378
Armenia,2018,-0.4088913500,8.07187595160609
Austria,2005,1.9124234915,4.85465102059783
Aruba,1964,NULL,NULL
Armenia,1994,NULL,9.47678997781201
Austria,2008,1.8287581205,11.0143798085055
Aruba,1967,NULL,NULL
Austria,2015,1.4723800421,-13.6953835294212
